src_id	verse_id	book	chapter	verse	english_text	nagamese_text
EN_NAG_00087	1CO_4_17	1 Corinthians	4	17	[English translation for 1 Corinthians 4:17]	Kilekoile etu nimite, moi Timothy ke apnikhan logot pathaise, jun Probhu te, moi laga morom thaka aru biswas te thik thaka bacha ase. Tai apnikhan ke ami ki Khrista Jisu laga ki niyom cholai ase, aru girja khan te ami ki hikai thake eitu khan sob hikai dibo.
EN_NAG_00088	1CO_4_18	1 Corinthians	4	18	[English translation for 1 Corinthians 4:18]	Etiya, apnikhan bhitor te kunba to bisi phutani hoi ase, moi kitia bhi apnikhan logote nahibo nisena.
EN_NAG_00089	1CO_4_19	1 Corinthians	4	19	[English translation for 1 Corinthians 4:19]	Kintu moi apnikhan logote joldi ahibo, jodi etu Probhu laga itcha hoile. Etu pichete moi utu phutani manu khan ke ahikena sabo, taikhan logot khali kotha pora phutani ase na dusra I Corinthians 4:20 xiii I Corinthians 5:5 hokti bhi ase.
EN_NAG_00090	1CO_4_20	1 Corinthians	4	20	[English translation for 1 Corinthians 4:20]	Kilekoile Isor laga rajyo to khali kotha pora nohoi kintu hokti pora ase.
EN_NAG_00091	1CO_5_21	1 Corinthians	5	21	[English translation for 1 Corinthians 5:21]	Apnikhan ki lage? Moi apnikhan ke luha laga lathi loi kene na morom aru norom atma loi kene ahibo? 5 Bebichar Pora Mondoli Letera Kore
EN_NAG_00092	1CO_5_1	1 Corinthians	5	1	[English translation for 1 Corinthians 5:1]	Ami huni bole pai ase ta te kunba khan ase jun khan bebichar laga kaam apnikhan majote kori ase, aru eneka biya kaam khan juntu Porjati khan majote kitia bhi huna nai- jineka ekjon manu tai laga baba laga maiki ke loi kene ase*.
EN_NAG_00093	1CO_5_2	1 Corinthians	5	2	[English translation for 1 Corinthians 5:2]	Aru eneka hoi kene bhi apnikhan iman phutani ase! Asol to apnikhan mon dukh hobole lage, eneka hoile jun manu eneka kaam kori ase taikhan ke apnikhan logot pora ulai dibi.
EN_NAG_00094	1CO_5_3	1 Corinthians	5	3	[English translation for 1 Corinthians 5:3]	Ami apnikhan majote gaw pora alag thakile bhi, ami laga atma to apnikhan logote ase. Moi poila pora utu manu laga kaam khan nimite bisar kori dise, ami nijor ta te thaka nisena.
EN_NAG_00095	1CO_5_4	1 Corinthians	5	4	[English translation for 1 Corinthians 5:4]	Jitia apnikhan Probhu Jisu Khrista laga naam pora joma hoise, aru ami atma pora apnikhan logote ase, amikhan laga Probhu Jisu Khrista laga hokti pora,
EN_NAG_00096	1CO_5_5	1 Corinthians	5	5	[English translation for 1 Corinthians 5:5]	etu manu ke Saitan laga hathte tai laga gaw ke khotom kori dibo nimite dibi, eneka hoile Probhu laga dinte tai laga atma to bachai lobo. * 5:1 Lev. 18:8, 22:30. I Corinthians 5:6 xiv I Corinthians 5:13
EN_NAG_00097	1CO_5_6	1 Corinthians	5	6	[English translation for 1 Corinthians 5:6]	Apnikhan phutani dikhai thaka to bhal nohoi. Apnikhan najane naki, ekta chutu khomir to pura atta ke phulai diye?
EN_NAG_00098	1CO_5_7	1 Corinthians	5	7	[English translation for 1 Corinthians 5:7]	Purana khomir ke ulai dibi eneka hoile apnikhan ekta notun roti bona bole laga atta hoi jabo. Kilekoile Khrista, amikhan laga Nistar laga mer bacha to bolidan hoi jaise.
EN_NAG_00099	1CO_5_8	1 Corinthians	5	8	[English translation for 1 Corinthians 5:8]	Etu nimite ahibi amikhan khushi laga din ke manabo, purana khomir logote nohoi, nohoile bhi biya adat aru biya kaam laga khomir pora nohoi, kintu hosa aru ekta naphula laga roti nisena sapha hoi kene.
EN_NAG_00100	1CO_5_9	1 Corinthians	5	9	[English translation for 1 Corinthians 5:9]	Ami poila laga chithi te bhi likhise, bebichar kora manu khan logote namilibi.
EN_NAG_00101	1CO_5_10	1 Corinthians	5	10	[English translation for 1 Corinthians 5:10]	Ami laga chithi te, etu prithibi laga bebichar kaam kora khan, nohoile lalchi thaka, nohoile thogai diya manu, nohoile murti puja kora khan logote namili kene thakibi kowa nohoi, eneka hoile apnikhan etu prithibi pora bahar te jabole lagibo.
